rep,documents,operation,sample,latency_ns,correct
1,256,miss,32,2912025,1
1,256,unicode,32,2953692,1
1,256,exact,33,3221396,1
1,256,near,33,3252184,1
1,256,miss,33,3262123,1
1,256,unicode,33,3054873,1
1,256,exact,34,2904390,1
1,256,near,34,2925549,1
1,256,miss,34,2913467,1
1,256,unicode,34,2957780,1
1,256,exact,35,2924668,1
1,256,near,35,2907305,1
1,256,miss,35,2916092,1
1,256,unicode,35,2955556,1
1,256,exact,36,2921121,1
1,256,near,36,2936540,1
1,256,miss,36,2892838,1
1,256,unicode,36,2978559,1
1,256,exact,37,2926942,1
1,256,near,37,2911924,1
1,256,miss,37,2908577,1
1,256,unicode,37,2976956,1
1,256,exact,38,2924056,1
1,256,near,38,2909118,1
1,256,miss,38,2920540,1
1,256,unicode,38,2975834,1
1,256,exact,39,2907556,1
1,256,near,39,2927793,1
1,256,miss,39,2897457,1
1,256,unicode,39,2982547,1
1,256,exact,40,2904580,1
1,256,near,40,2920891,1
1,256,miss,40,2910210,1
1,256,unicode,40,2970835,1
1,256,exact,41,2924738,1
1,256,near,41,2918938,1
1,256,miss,41,2894412,1
1,256,unicode,41,2970494,1
1,256,exact,42,2906935,1
1,256,near,42,2922714,1
1,256,miss,42,2895864,1
1,256,unicode,42,2974411,1
1,256,exact,43,2913307,1
1,256,near,43,2914439,1
1,256,miss,43,2918537,1
1,256,unicode,43,2957820,1
1,256,exact,44,2935799,1
1,256,near,44,2904430,1
1,256,miss,44,2919418,1
1,256,unicode,44,2977958,1
1,256,exact,45,2905512,1
1,256,near,45,2922775,1
1,256,miss,45,2903648,1
1,256,unicode,45,3287339,1
1,256,exact,46,3215013,1
1,256,near,46,2918477,1
1,256,miss,46,2912676,1
1,256,unicode,46,2959524,1
1,256,exact,47,2927454,1
1,256,near,47,2924808,1
1,256,miss,47,3109976,1
1,256,unicode,47,3306556,1
1,256,exact,48,3264657,1
1,256,near,48,3251993,1
1,256,miss,48,3135184,1
1,256,unicode,48,2977828,1
1,256,exact,49,2910421,1
1,256,near,49,2912485,1
